I1,I2,I3
1.4355,0,0.002
1.5576,0,0.002
1.6375,0,-0.0002
1.6373,0,-0.0026
1.7527,0,-0.0013
1.6375,0,-0.0035
1.2406,0,-0.0013
1.7527,0,0.0007
1.4351,0,-0.0013
1.6375,0,0.0007
1.4352,0,0.0007
1.6369,0,-0.0013
1.5578,0,0.002
1.558,0,0.002
1.6375,0,0.0088
1.4352,0,0.0088
1.5582,0,0.0108
1.5578,0,0.0141
1.558,0,0.0165
1.5578,0,0.0141
1.3558,0,0.0172
1.637,0,0.0207
1.4352,0,0.0229
1.5582,0,0.0207
1.6369,0,0.0273
1.6373,0,0.0295
1.4355,0,0.0308
1.3561,0,0.0308
1.7529,0,0.0308
1.6369,0,0.0342
1.6373,0,0.0383
1.5578,0,0.0339
1.2409,0,0.0363
1.7527,0,0.0463
1.8322,0,0.0463
1.558,0,0.0463
1.5578,0,0.0496
1.6375,0,0.0463
1.5582,0,0.0496
1.6373,0.1047,0.0542
1.7524,0.2094,0.0516
1.637,0.2094,0.0544
1.637,0.2094,0.0577
1.8317,0.2094,0.0542
1.8312,0,0.0577
1.7524,0.2094,0.063
1.6373,0.4189,0.0593
1.5582,0.5236,0.056
1.637,0.5236,0.0628
1.6373,0.6283,0.063
1.5578,0.6283,0.0562
1.5576,0.733,0.0604
1.5582,0.8378,0.0604
1.9475,0.733,0.0595
1.558,0.9425,0.0595
1.9473,1.0472,0.061
1.4355,1.0472,0.0634
1.6373,1.2566,0.063
1.558,1.3614,0.0515
1.7527,1.5708,0.0518
1.558,1.9897,0.0498
1.637,2.7227,0.0432
1.558,3.0369,0.0363
1.5582,3.351,0.0324
1.7527,3.1416,0.032
1.7529,2.8274,0.032
1.5578,2.5133,0.0383
1.4352,2.3038,0.0439
1.4355,1.885,0.0456
1.7527,1.5708,0.0522
1.832,1.0472,0.0599
1.5578,0.733,0.0634
1.5578,0.4189,0.0694
1.4356,0.2094,0.0716
1.558,0.1047,0.0765
1.6373,0,0.0797
1.832,0,0.08
1.5578,0.1047,0.0782
1.4352,0.1047,0.0765
1.7524,0.1047,0.0765
1.3561,0.1047,0.0765
1.637,0.2094,0.0747
1.5576,0.2094,0.0747
1.5578,0.2094,0.0782
1.6375,0,0.0765
1.832,0.2094,0.0767
1.637,0.3142,0.0698
1.5576,0.3142,0.0718
1.558,0.2094,0.0743
1.6373,0.3142,0.0685
1.8322,0.2094,0.0683
1.832,0.2094,0.0672
1.2405,0.3142,0.067
1.5582,0.3142,0.0637
1.4355,0.3142,0.0648
1.6373,0.4189,0.0626
1.3563,0.6283,0.0568
1.6369,0.733,0.0553
1.5578,0.9425,0.0513
1.637,1.3614,0.0452
1.7524,1.4661,0.0421
1.637,1.2566,0.0392
1.558,0.9425,0.0485
1.558,0.5236,0.0449
1.5576,0,0.0458
1.7524,-0.1047,0.0511
1.5582,0,0.0569
1.4356,0,0.0482
1.4352,0,0.0511
1.3561,0,0.045
1.637,0,0.0482
1.7522,0,0.0454
1.5578,0,0.0423
1.4352,0,0.0392
1.5578,0,0.0401
1.5578,0,0.0368
1.6373,0,0.0302
1.6373,0,0.0361
1.6373,0,0.0333
1.637,0,0.0306
1.1615,0,0.0276
